,Unnamed: 0,Unnamed: 0.1,time,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,mag_field_x,mag_field_y,mag_field_z,mag_new_data,pos_n,pos_e,pos_d,v_n,v_e,v_d,gnss_new_data,imu_new_data
34,34,34,0.40999985,0.96410376,-0.51910496,-9.747872,0.0042308657,0.008918363,0.023290649,-14.455289,19.457283,43.141216,1,0.003166477805216,-0.0496062001947839,-0.3459522801947839,-0.0509450236975574,-0.0673602016975574,-0.1395967336975574,0,1.0
35,35,35,0.42000008,0.9641107,-0.5191048,-9.747867,0.017794559,0.008924402,0.021845235,-14.51952,19.521482,43.0658,1,-0.1296521502018684,-0.1825728692018683,-0.4795673992018684,0.0564765295991094,0.0399944051991094,-0.0318714958008905,0,1.0
36,36,36,0.42999935,0.9641107,-0.5191048,-9.747867,0.012951236,0.0019268672,0.023715118,-14.454205,19.4572,43.215454,1,0.0958370936208171,0.0427676956208171,-0.2548719843791828,-0.1573751506823334,-0.1739347626823334,-0.2454301736823334,0,0.0
37,37,37,0.43999958,0.8862415,-0.5191054,-9.787038,0.013687518,0.0028488757,0.017315984,-14.454205,19.4572,43.215454,0,-0.121120174177841,-0.174387126177841,-0.472888271177841,-0.0799121857346436,-0.0962659467346436,-0.1684010627346436,0,1.0
38,38,38,0.4499998,0.88620293,-0.5191048,-9.787055,0.015053138,0.0012281162,0.009237217,-14.330788,19.583727,43.14321,1,0.0490868928925742,-0.0043265301074257,-0.3034793501074257,0.2041028510529047,0.1879094014529047,0.1152326124529047,0,1.0
39,39,39,0.46000004,0.8862029,-0.5191048,-9.787055,0.013775973,-0.009338477,0.0027440712,-14.393039,19.520504,43.142212,1,-0.1584279642990242,-0.2119864432990242,-0.5117957972990242,-0.0293965262162323,-0.0454402202162323,-0.1186548902162323,0,1.0
40,40,40,0.4699993,0.88620406,-0.5191059,-9.747906,0.020486386,0.00024166802,-0.008889583,-14.329703,19.583643,43.217453,1,0.0141989160840521,-0.0395509179159478,-0.3402408479159479,0.0666016829543573,0.0507548492543573,-0.0227428857456426,0,1.0
41,41,41,0.47999954,0.8862029,-0.5191048,-9.747867,0.008615003,0.00184074,-0.014425239,-14.329703,19.583643,43.217453,0,-0.4027775139892858,-0.4566693429892858,-0.7580214389892859,-0.0659992807396328,-0.0817088410396328,-0.1553605220396328,0,1.0
42,42,42,0.48999977,0.8862029,-0.5191048,-9.747867,0.012580589,-0.0068737487,-0.015249444,-14.391508,19.456753,43.216537,1,0.1813708751515801,0.1273382801515801,-0.1746773898484198,-0.0123962613118555,-0.0279725883118555,-0.1017778273118555,0,0.0
43,43,43,0.5,0.92500937,-0.5191095,-9.767389,-0.00033114842,-0.005276028,-0.010248344,-14.330341,19.520058,43.143295,1,0.217483369418279,0.166802087418279,-0.1297988925817209,0.0475159839003838,0.0443610834003838,-0.0267113645996161,1,1.0
