,time,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,mag_field_x,mag_field_y,mag_field_z,mag_new_data,pos_n,pos_e,pos_d,v_n,v_e,v_d,gnss_new_data
82,0.9199991,0.9887612,-0.50498354,-9.85104,-0.053261865,-0.047867835,0.011669699,-14.424269,19.448267,43.290215,1,-0.015573433,-0.07016233,-0.37245423,-2.6878906e-05,-0.010097783,-0.08259732,0
83,0.9289999,1.0224756,-0.49988586,-9.884956,-0.08635582,-0.06658133,0.0066499105,-14.361236,19.384212,43.291378,1,-0.015574745,-0.07025765,-0.37320313,-0.0002780878,-0.011092504,-0.08384002,0
84,0.9379988,1.0225415,-0.4998759,-9.885022,-0.10362518,-0.073695906,0.007872128,-14.2982025,19.32016,43.29254,1,-0.015578731,-0.07036206,-0.37396336,-0.00062206894,-0.012111547,-0.08509788,0
85,0.947999,1.0812768,-0.5434413,-9.782462,-0.108252235,-0.0720298,0.0044164653,-14.296671,19.256468,43.366867,1,-0.015590091,-0.07051578,-0.37499416,-0.0014697092,-0.0135935275,-0.08648959,0
86,0.9560003,1.10015,-0.5573419,-9.748407,-0.09558298,-0.06103672,0.0071559316,-14.296671,19.256468,43.366867,0,-0.01304362,-0.068623126,-0.36663428,0.008882391,-0.011686931,-0.07932054,1
87,0.9649992,1.1004488,-0.55756205,-9.747869,-0.045270365,-0.031980943,0.006626875,-14.170861,19.319101,43.443195,1,-0.012970252,-0.068734854,-0.36734867,0.0074108797,-0.01313988,-0.07942833,0
88,0.974,1.1004493,-0.5575625,-9.747867,0.030679973,-0.015620693,0.008598001,-14.295587,19.256384,43.441116,1,-0.012910367,-0.06885968,-0.36806405,0.005892597,-0.014597478,-0.07953504,0
89,0.9840002,0.80858153,-0.44230312,-9.649995,0.09457341,-0.00721436,0.0022906414,-14.108466,19.191523,43.370193,1,-0.012839031,-0.06903603,-0.36901233,0.0062805978,-0.014575502,-0.07836142,0
90,0.9929991,0.80829555,-0.44218948,-9.6498995,0.08302179,-0.008286942,0.0040337252,-14.108466,19.191523,43.370193,0,-0.012779605,-0.069166176,-0.36971283,0.0069338284,-0.01435083,-0.07731448,0
91,1.0019999,0.808295,-0.44218928,-9.6498995,0.045640506,-0.038684353,-0.009663748,-14.235616,19.319714,43.293625,1,-0.012714072,-0.06929445,-0.37040392,0.0076339827,-0.014161441,-0.07626721,0
92,1.0109987,0.57548916,-0.34642515,-9.806042,0.01874609,-0.050016154,-0.015979355,-14.173031,19.31927,43.294704,1,-0.012634962,-0.069415495,-0.3710901,0.010050311,-0.012661749,-0.07628976,0
93,1.0199995,0.5745733,-0.34604564,-9.806648,-0.047967263,-0.031707484,-0.010506282,-14.173031,19.31927,43.294704,1,-0.01253287,-0.0695222,-0.37177733,0.012632806,-0.011055859,-0.07642418,0
94,1.0299997,0.57457143,-0.3460449,-9.806648,-0.098783664,-0.017542342,-0.008341192,-14.173031,19.31927,43.294704,0,-0.012407732,-0.0696145,-0.37246573,0.015165815,-0.009451421,-0.0765603,0
95,1.0390005,0.8238348,-0.5164195,-9.806667,-0.093804896,-0.00054621324,-0.010854137,-14.234084,19.256021,43.36795,1,-0.01226457,-0.069694474,-0.37315586,0.01610147,-0.008589134,-0.076864965,0
96,1.0460005,0.82771045,-0.5190628,-9.806648,-0.069520965,0.024993466,-0.008605246,-14.173031,19.31927,43.294704,1,-0.016455663,-0.069186956,-0.36669874,-0.0076167164,-0.012346261,-0.07792215,1
97,1.0559988,0.82777196,-0.5191048,-9.806648,-0.015331135,0.059305467,-0.0016146865,-14.357281,19.129614,43.440205,1,-0.016548946,-0.069331616,-0.3676371,-0.007933035,-0.0117505295,-0.07846429,0
98,1.0649996,1.0469638,-0.6633964,-9.769987,0.039096426,0.025289744,0.0034949654,-14.2325535,19.19233,43.442284,1,-0.016624153,-0.06943657,-0.36834496,-0.009243967,-0.011818991,-0.078819975,0
99,1.0749998,1.061467,-0.67291707,-9.767466,0.08113656,0.010571452,0.010937955,-14.2325535,19.19233,43.442284,0,-0.016718334,-0.069545984,-0.36905566,-0.011681934,-0.012496732,-0.079116926,0
100,1.0840006,1.0614954,-0.6729357,-9.767462,0.08443977,-0.035011448,0.013870963,-14.171499,19.255575,43.36903,1,-0.01683427,-0.069661595,-0.36976904,-0.014072597,-0.013200821,-0.0794148,0
101,1.0929995,0.9082666,-0.33658066,-9.801903,0.048075832,-0.06882375,0.0005310287,-14.172585,19.25566,43.29479,1,-0.016969854,-0.06978388,-0.37048513,-0.015312204,-0.01403831,-0.07972952,0
102,1.1009989,0.88624597,-0.28845248,-9.806639,0.023823509,-0.04632147,-0.013534965,-14.173031,19.31927,43.294704,1,-0.017101228,-0.06991509,-0.3712043,-0.0138688255,-0.015130255,-0.08008108,0
103,1.1109991,0.886203,-0.28835845,-9.806648,-0.009474569,-0.03562934,-0.016039524,-14.173031,19.31927,43.294704,0,-0.017219473,-0.07005634,-0.3719266,-0.012409754,-0.016263256,-0.08043252,0
104,1.1929998,0.730383,-0.4229663,-9.708683,0.048362516,-0.019757012,-0.007252075,-14.170861,19.319101,43.443195,0,-0.013688425,-0.069961704,-0.36948845,0.0063118967,-0.010328774,-0.07440341,0
105,1.2019987,0.7303871,-0.4229604,-9.708681,0.004041214,0.008911667,-0.013174959,-14.047411,19.254768,43.29695,1,-0.013626827,-0.070051834,-0.37015542,0.007378347,-0.009702889,-0.07381153,0
106,1.2109995,1.0543438,-0.32215902,-9.8117,-0.03739378,0.02749827,-0.016648056,-14.1062975,19.191355,43.518684,1,-0.01355587,-0.070137784,-0.3708176,0.008271601,-0.010050074,-0.07359371,0
107,1.2209997,1.1004382,-0.30759072,-9.82624,-0.04373321,0.02680961,-0.0019824575,-14.169522,19.128275,43.443447,1,-0.013452954,-0.07027972,-0.37170622,0.008871612,-0.013610137,-0.074506335,0
108,1.2289991,1.1004493,-0.3075872,-9.8262415,-0.042831223,0.02096541,0.006578212,-14.169522,19.128275,43.443447,0,-0.014557368,-0.067667134,-0.36503473,0.0017491813,-0.008304824,-0.07457671,1
109,1.2379999,0.87905115,-0.6947185,-9.792107,-0.032340813,-0.01999619,0.010644563,-14.169969,19.191883,43.443363,1,-0.014541067,-0.06775179,-0.3657089,0.0013973365,-0.0097470125,-0.07516647,0
110,1.2469988,0.8473111,-0.7497436,-9.787065,-0.005995067,-0.04386357,0.008727461,-14.171053,19.191967,43.369114,1,-0.014537797,-0.06783372,-0.36638695,-0.0006849135,-0.008451093,-0.07550429,0
111,1.256999,0.8472489,-0.7498512,-9.787055,0.017003933,-0.033922933,-0.00021116978,-14.2325535,19.19233,43.442284,1,-0.014562966,-0.06792474,-0.36729574,-0.00351415,-0.0067299763,-0.07595154,0
112,1.2680006,0.8644435,-0.37984565,-9.770062,0.02551045,-0.027941046,5.48447e-05,-14.2325535,19.19233,43.442284,0,-0.01460276,-0.06798051,-0.36798072,-0.004701354,-0.0060550417,-0.076189175,0
113,1.276,0.8667214,-0.3269196,-9.767466,0.048976637,0.00237622,0.0007439258,-14.171692,19.128443,43.294956,1,-0.01464023,-0.06803834,-0.36866644,-0.0036131197,-0.0068109967,-0.07618888,0
